label,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
dogal,7.446750487360987e-07,0.05727261304855347,0.027995139360427856,0.1075420007109642,0.07419060915708542,0.059407662600278854,1.1027990694856271e-05,1.0637963754334123e-07,1.7917024308644613e-07,0.15665383636951447,0.09094029664993286,0.23639222979545593,0.23481734097003937,0.0034066259395331144,0.4107135236263275,0.3690584599971771,0.00861977506428957,0.03335292264819145,0.032031647861003876,0.3548622727394104,0.38405007123947144,0.0038886559195816517,0.004427871201187372,0.0001313020766247064,0.00047695054672658443,0.0015115502756088972,2.129077256540768e-05,0.0003642416268121451,0.015272663906216621,0.0005510617629624903,0.000276344595476985,0.0004688944900408387,0.0026449542492628098,0.0019456964218989015,0.00030772987520322204,0.0008471962646581233,0.024579694494605064,0.0033423632849007845,0.10014872997999191,0.0005382894887588918,0.001798535231500864,0.0009555285214446485,0.004023078363388777,0.008599535562098026,0.0010395407443866134,0.0004691466747317463,0.001141250366345048,0.0023163401056081057,0.00027789155137725174,0.00020564139413181692,2.9005084343225462e-06,6.604008717658871e-07
dogal,1.0337058711229474e-06,0.01664893515408039,0.007384410593658686,0.21968752145767212,0.14634737372398376,0.12142573297023773,1.4303880561783444e-05,1.463481993368987e-07,2.2850446157463011e-07,0.1526833027601242,0.062415894120931625,0.2993527352809906,0.28128451108932495,0.0046469662338495255,0.3833540380001068,0.33703696727752686,0.01047108881175518,0.027511198073625565,0.025004083290696144,0.3257083594799042,0.3123358488082886,0.004365879576653242,0.0060991523787379265,0.0001514545438112691,0.0004140057717449963,0.001075992127880454,1.4530128282785881e-05,0.0002878065570257604,0.01999787986278534,0.0004612643097061664,0.0008338120533153415,0.0015493562677875161,0.0013341036392375827,0.0016531107248738408,0.00023162060824688524,0.0005706052761524916,0.0514318011701107,0.0053343200124800205,0.021785447373986244,0.00043659796938300133,0.0014972677454352379,0.0006998902535997331,0.007006083615124226,0.013187211006879807,0.005345772951841354,0.0022592570167034864,0.003648812882602215,0.007311615627259016,0.000820955028757453,0.0005105274613015354,3.5843054320139345e-06,9.250435937246948e-07
dogal,6.29150747499807e-07,0.01343868114054203,0.007076233625411987,0.26690348982810974,0.10899718105792999,0.1291496455669403,1.5302886822610162e-05,1.3720608649236965e-07,1.5729722235846566e-07,0.1609877645969391,0.06337477266788483,0.11375760287046432,0.10566821694374084,0.05136822536587715,0.06899060308933258,0.07892853021621704,0.05657457187771797,0.0830288752913475,0.08540987968444824,0.4021519124507904,0.3699912130832672,0.0036716421600431204,0.00548169668763876,0.0001760938175721094,0.0005162220331840217,0.001705719972960651,1.8088267097482458e-05,0.00043470735545270145,0.013003433123230934,0.0005798597703687847,0.0003571781562641263,0.0005964236916042864,0.0022495342418551445,0.0019120167708024383,0.0005864590057171881,0.0010933898156508803,0.035559941083192825,0.006082490086555481,0.026630282402038574,0.0003319637617096305,0.0010384474880993366,0.0008002185495570302,0.0014700230676680803,0.00508309667930007,0.005202515982091427,0.0028821583837270737,0.003726348979398608,0.007286525331437588,0.00026868435088545084,0.00017690329696051776,2.7855478492710972e-06,6.358316682053555e-07
dogal,6.602547841794149e-07,0.0028795269317924976,0.0012677733320742846,0.43513160943984985,0.2909173369407654,0.26844820380210876,1.3746053809882142e-05,1.9461026568023954e-07,1.9853926858104387e-07,0.1264047622680664,0.046624716371297836,0.1043371856212616,0.09044577926397324,0.017493650317192078,0.17547467350959778,0.1636897325515747,0.02431127242743969,0.09052079916000366,0.10287945717573166,0.27852511405944824,0.2805907428264618,0.004688445944339037,0.00993399042636156,0.000132708708406426,0.0003582998469937593,0.0012446435866877437,2.1518306311918423e-05,0.0003245547122787684,0.008067305199801922,0.0005780956125818193,0.0011761978967115283,0.001940730377100408,0.0012987884692847729,0.001017254777252674,0.0004463378863874823,0.0006705866544507444,0.035854022949934006,0.007713200058788061,0.020007196813821793,0.0006368914037011564,0.0012536307331174612,0.0006752241752110422,0.0038530402816832066,0.008680013008415699,0.004501359071582556,0.002590231830254197,0.006043691653758287,0.010886347852647305,0.00045787906856276095,0.0003254734037909657,4.2374285840196535e-06,6.370066785166273e-07
dogal,6.387994631040783e-07,0.0038184840232133865,0.0014922553673386574,0.41491571068763733,0.25581517815589905,0.26942384243011475,1.3232674973551184e-05,1.853511122362761e-07,2.645228107667208e-07,0.10792258381843567,0.03029288537800312,0.08513609319925308,0.07417193800210953,0.024374082684516907,0.1282259225845337,0.12668249011039734,0.0332149975001812,0.10544304549694061,0.12301450967788696,0.28817421197891235,0.22540315985679626,0.005194732919335365,0.014912288635969162,0.00014132251089904457,0.0005032463814131916,0.0012861033901572227,2.1881565771764144e-05,0.0003403490409255028,0.01155200693756342,0.0002891754556912929,0.0005774474120698869,0.0010241820709779859,0.0025831740349531174,0.002002578228712082,0.00046984886284917593,0.0009152662241831422,0.03207720071077347,0.003449034411460161,0.05365828052163124,0.0004190606123302132,0.0010271691717207432,0.0007011510315351188,0.00235942704603076,0.008759834803640842,0.0030590423848479986,0.0013435003347694874,0.004202225711196661,0.007156457286328077,0.00042396594653837383,0.00022383169562090188,5.154544851393439e-06,6.322405283754051e-07
dogal,5.893747925256321e-07,0.005641242489218712,0.0022955690510571003,0.40793824195861816,0.20588742196559906,0.2021191120147705,9.515788406133652e-06,1.7739760949098127e-07,2.3538324001037836e-07,0.15708959102630615,0.049258507788181305,0.11515562236309052,0.09937122464179993,0.02236907370388508,0.144450381398201,0.13551883399486542,0.028485048562288284,0.08008409291505814,0.09778498858213425,0.3432328402996063,0.32947057485580444,0.003945502452552319,0.009616847150027752,0.00014694994024466723,0.0002693437854759395,0.001141683547757566,3.977142114308663e-05,0.0002836917992681265,0.009280837140977383,0.0003878020797856152,0.0003248190332669765,0.0006709590670652688,0.0032179674599319696,0.0020518768578767776,0.0004960745573043823,0.0007830271497368813,0.019430821761488914,0.004699310753494501,0.07235397398471832,0.00043417661800049245,0.0008272198028862476,0.000718499009963125,0.0016290978528559208,0.006691690534353256,0.0022751777432858944,0.001510612084530294,0.002198193920776248,0.014184915460646152,0.00033030231134034693,0.00019246684678364545,5.3291423682821915e-06,6.187248686728708e-07
dogal,4.40434860138339e-07,0.006133799906820059,0.0032944208942353725,0.3803926110267639,0.20892538130283356,0.1909935623407364,1.3444838259601966e-05,1.2490791334585083e-07,3.1142943157647096e-07,0.18808019161224365,0.055200230330228806,0.1621130406856537,0.14357034862041473,0.025791514664888382,0.11962546408176422,0.12861672043800354,0.03609322011470795,0.06009061262011528,0.07060299068689346,0.3117264211177826,0.2770366668701172,0.0038845837116241455,0.009711836464703083,0.0002058681711787358,0.000557013729121536,0.0017720978939905763,3.388254117453471e-05,0.0004903135704807937,0.01808525063097477,0.000336639117449522,0.00010914525773841888,0.00022908761457074434,0.004280752036720514,0.0013086781837046146,0.0006584612419828773,0.0015868322225287557,0.030568646267056465,0.002760208211839199,0.08787737786769867,0.0007796502322889864,0.0008179389988072217,0.0011109000770375133,0.0006549524841830134,0.002887043636292219,0.0029000388458371162,0.0012980489991605282,0.001832172623835504,0.007563467137515545,0.000208538185688667,8.008800796233118e-05,4.9433501772000454e-06,6.395431455530343e-07
dogal,8.882850011104892e-07,0.004843499511480331,0.0016437902813777328,0.5007837414741516,0.15151427686214447,0.1973465234041214,1.6755182514316402e-05,2.1969380270547845e-07,3.811446447343769e-07,0.19012442231178284,0.05836494266986847,0.21472042798995972,0.18643154203891754,0.041354406625032425,0.08004547655582428,0.08753076195716858,0.0537121407687664,0.045305050909519196,0.04974451661109924,0.2998743951320648,0.27004101872444153,0.0034943411592394114,0.009037148207426071,0.0001761515741236508,0.0003938336158171296,0.0011617866111919284,1.9696601157193072e-05,0.00032928705331869423,0.026120981201529503,0.0014443076215684414,0.0003777374804485589,0.0007058806950226426,0.0010991079034283757,0.0020692110992968082,0.0004247307078912854,0.0005524586304090917,0.08629842102527618,0.024807509034872055,0.009106387384235859,0.00031728853355161846,0.0017871776362881064,0.0009529346716590226,0.0036676512099802494,0.0053237727843225,0.037965498864650726,0.023974908515810966,0.008237904869019985,0.030941776931285858,0.0003938159497920424,0.0002390624285908416,3.021333441211027e-06,8.613930617684673e-07
dogal,8.63521677274548e-07,0.0036484994925558567,0.0015130226965993643,0.5007771253585815,0.16101118922233582,0.2065478265285492,1.580027128511574e-05,2.4442022095172433e-07,4.823240828955022e-07,0.21864791214466095,0.07045206427574158,0.192545548081398,0.16011649370193481,0.05334436148405075,0.07036921381950378,0.07556583732366562,0.06007753312587738,0.05065431445837021,0.06099683418869972,0.31376147270202637,0.33230599761009216,0.002846210030838847,0.00831717811524868,0.00021517291315831244,0.0004755097033921629,0.0008443344850093126,1.2171566595498007e-05,0.00022606118000112474,0.029508979991078377,0.00047691049985587597,0.0006647634436376393,0.0012875833781436086,0.0014501207042485476,0.0050846184603869915,0.0003983016940765083,0.000741638068575412,0.06600623577833176,0.008502763696014881,0.016365492716431618,0.00011172412632731721,0.001134291524067521,0.000645634310785681,0.002807347336784005,0.007171108387410641,0.047280557453632355,0.020101254805922508,0.016252832487225533,0.046363428235054016,0.0011564763262867928,0.0005251961993053555,4.332744083512807e-06,8.647867275612953e-07
dogal,7.508077146667347e-07,0.0022844469640403986,0.000997960101813078,0.49161097407341003,0.2645998001098633,0.2949753999710083,1.2299839909246657e-05,1.8872242435463704e-07,3.3645201824583637e-07,0.19914457201957703,0.06876210868358612,0.2761702835559845,0.23852896690368652,0.029013242572546005,0.11729687452316284,0.11528640240430832,0.03736418858170509,0.031413353979587555,0.034679971635341644,0.29689326882362366,0.3082931339740753,0.003421464469283819,0.007798059843480587,0.00014935426588635892,0.0003088002558797598,0.000806855910923332,1.560473356221337e-05,0.0001931175938807428,0.020290246233344078,0.0007751151570118964,0.0007665031007491052,0.0014891325263306499,0.000941602629609406,0.003224520245566964,0.0003120619512628764,0.0005324798985384405,0.056156184524297714,0.011678301729261875,0.013026649132370949,0.0002080758276861161,0.001257831696420908,0.0005920196999795735,0.004742191638797522,0.00972947757691145,0.013691375963389874,0.008258297108113766,0.0063315159641206264,0.027376601472496986,0.0011894736671820283,0.0007540657534264028,4.4175121729495e-06,7.147019687181455e-07
